inst_name,ror_id,inst_first_seen,inst_last_seen,esac_id
Advanced Research Center for Nanolithography,https://ror.org/04xe7ws48,2026-05-20,NA,eme2025ukb
Aeres University of Applied Sciences Wageningen,https://ror.org/03jnx2c74,2026-05-20,NA,eme2025ukb
Amsterdam University Medical Centres,https://ror.org/05grdyy37,2026-05-20,NA,eme2025ukb
Amsterdam University of Applied Sciences,https://ror.org/00y2z2s03,2026-05-20,NA,eme2025ukb
Avans University of Applied Science,https://ror.org/015d5s513,2026-05-20,NA,eme2025ukb
Breda University of Applied Sciences,https://ror.org/04mfj5474,2026-05-20,NA,eme2025ukb
Christian University of Applied Science Ede,https://ror.org/04tj5wz42,2026-05-20,NA,eme2025ukb
Data Archiving and Networked Services,https://ror.org/008pnp284,2026-05-20,NA,eme2025ukb
Dutch Institute for Fundamental Energy Research,https://ror.org/03w5dn804,2026-05-20,NA,eme2025ukb
Dutch Research Council,https://ror.org/04jsz6e67,2026-05-20,NA,eme2025ukb
Erasmus MC,https://ror.org/018906e22,2026-05-20,NA,eme2025ukb
Erasmus Universiteit Rotterdam,https://ror.org/057w15z03,2026-05-20,NA,eme2025ukb
Fontys University of Applied Sciences,https://ror.org/01jwcme05,2026-05-20,NA,eme2025ukb
Frisian Academy,https://ror.org/05fcmfe52,2026-05-20,NA,eme2025ukb
Hague University of Applied Sciences,https://ror.org/021zvq422,2026-05-20,NA,eme2025ukb
HAN University of Applied Sciences,https://ror.org/0500gea42,2026-05-20,NA,eme2025ukb
Hanze University of Applied Sciences,https://ror.org/00xqtxw43,2026-05-20,NA,eme2025ukb
HAS University of Applied Sciences,https://ror.org/05p706d77,2026-05-20,NA,eme2025ukb
Hogeschool KPZ,NA,2026-05-20,NA,eme2025ukb
Hotelschool The Hague,https://ror.org/018t8yw14,2026-05-20,NA,eme2025ukb
Hubrecht Laboratory,https://ror.org/023qc4a07,2026-05-20,NA,eme2025ukb
Huygens ING,https://ror.org/04x6kq749,2026-05-20,NA,eme2025ukb
HZ University of Applied Sciences,https://ror.org/047cqa323,2026-05-20,NA,eme2025ukb
Inholland University of Applied Sciences,https://ror.org/03cfsyg37,2026-05-20,NA,eme2025ukb
Institute for Atomic and Molecular Physics,https://ror.org/038x9td67,2026-05-20,NA,eme2025ukb
International Institute of Social History,https://ror.org/05dq4pp56,2026-05-20,NA,eme2025ukb
KNAW Humanities Cluster,NA,2026-05-20,NA,eme2025ukb
Leids Universitair Medisch Centrum,https://ror.org/05xvt9f17,2026-05-20,NA,eme2025ukb
Maastricht Universitair Medisch Centrum+,https://ror.org/02d9ce178,2026-05-20,NA,eme2025ukb
Maastricht University,https://ror.org/02jz4aj89,2026-05-20,NA,eme2025ukb
Meertens Institute,https://ror.org/05kaxyq51,2026-05-20,NA,eme2025ukb
National Institute for subatomic physics,https://ror.org/00f9tz983,2026-05-20,NA,eme2025ukb
National Research Institute for Mathematics and Computer Science,https://ror.org/00x7ekv49,2026-05-20,NA,eme2025ukb
Netherlands Institute for Advanced Study in the Humanities and Social Sciences,https://ror.org/04z3wz653,2026-05-20,NA,eme2025ukb
Netherlands Institute for Neuroscience,https://ror.org/05csn2x06,2026-05-20,NA,eme2025ukb
Netherlands Institute for Radio Astronomy,https://ror.org/000k1q888,2026-05-20,NA,eme2025ukb
Netherlands Institute for the Study of Crime and Law Enforcement,https://ror.org/03124pm05,2026-05-20,NA,eme2025ukb
Netherlands Institute of Ecology,https://ror.org/01g25jp36,2026-05-20,NA,eme2025ukb
Netherlands Interdisciplinary Demographic Institute,https://ror.org/04kf5kc54,2026-05-20,NA,eme2025ukb
Netherlands Organisation for Scientific Research,https://ror.org/04jsz6e67,2026-05-20,NA,eme2025ukb
NHL Stenden University,https://ror.org/02xgxme97,2026-05-20,NA,eme2025ukb
NIOD-Institute for War Holocaust and Genocide Studies,https://ror.org/05he87q93,2026-05-20,NA,eme2025ukb
Open Universiteit,https://ror.org/018dfmf50,2026-05-20,NA,eme2025ukb
Radboud UMC,https://ror.org/05wg1m734,2026-05-20,NA,eme2025ukb
Radboud Universiteit,https://ror.org/016xsfp80,2026-05-20,NA,eme2025ukb
Rathenau Institute,https://ror.org/04crnd335,2026-05-20,NA,eme2025ukb
Rijksuniversiteit Groningen,https://ror.org/012p63287,2026-05-20,NA,eme2025ukb
Rotterdam University of Applied Sciences,https://ror.org/0481e1q24,2026-05-20,NA,eme2025ukb
Royal Netherlands Academy of Arts and Sciences,https://ror.org/043c0p156,2026-05-20,NA,eme2025ukb
Royal Netherlands Institute for Sea Research,https://ror.org/01gntjh03,2026-05-20,NA,eme2025ukb
Royal Netherlands Institute of Southeast Asian and Caribbean Studies,https://ror.org/01bdv4312,2026-05-20,NA,eme2025ukb
Saxion Universities of Professional Education,https://ror.org/005t9n460,2026-05-20,NA,eme2025ukb
SRON Netherlands Institute for Space Research,https://ror.org/02wc0kq10,2026-05-20,NA,eme2025ukb
Technische Universiteit Delft,https://ror.org/02e2c7k09,2026-05-20,NA,eme2025ukb
Technische Universiteit Eindhoven,https://ror.org/02c2kyt77,2026-05-20,NA,eme2025ukb
Tilburg University,https://ror.org/04b8v1s79,2026-05-20,NA,eme2025ukb
Universitair Medisch Centrum Groningen,https://ror.org/03cv38k47,2026-05-20,NA,eme2025ukb
Universitair Medisch Centrum Utrecht,https://ror.org/0575yy874,2026-05-20,NA,eme2025ukb
Universiteit Leiden,https://ror.org/027bh9e22,2026-05-20,NA,eme2025ukb
Universiteit Twente,https://ror.org/006hf6230,2026-05-20,NA,eme2025ukb
Universiteit Utrecht,https://ror.org/04pp8hn57,2026-05-20,NA,eme2025ukb
Universiteit van Amsterdam,https://ror.org/04dkp9463,2026-05-20,NA,eme2025ukb
University of Applied Sciences Leiden,https://ror.org/0093src13,2026-05-20,NA,eme2025ukb
University of Applied Sciences Utrecht,https://ror.org/028z9kw20,2026-05-20,NA,eme2025ukb
Van Hall Larenstein University of Applied Sciences,https://ror.org/02mdbnd10,2026-05-20,NA,eme2025ukb
Viaa Christian University of Applied Sciences,https://ror.org/02ar29j81,2026-05-20,NA,eme2025ukb
Vrije Universiteit Amsterdam,https://ror.org/008xxew50,2026-05-20,NA,eme2025ukb
Wageningen University and Research,https://ror.org/04qw24q55,2026-05-20,NA,eme2025ukb
