journal_name,issn_print,issn_online,first_seen,last_seen,esac_id
ACM Computing Surveys,NA,1557-7341,2024-10-03,NA,acm2023lyrasis
ACM Inroads,2153-2184,2153-2192,2024-10-03,NA,acm2023lyrasis
ACM Journal of Data Science,NA,NA,2024-10-03,NA,acm2023lyrasis
ACM Journal on Data and Information Quality,1936-1955,1936-1963,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Accessible Computing,1936-7228,1936-7236,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Algorithms,1549-6325,1549-6333,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Applied Perception,1544-3558,1544-3965,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Architecture and Code Optimization,NA,1544-3973,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2375-4702,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Autonomous and Adaptive Systems,1556-4665,1556-4703,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Computation Theory,1942-3454,1942-3462,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Computational Logic,1529-3785,1557-945X,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Computer Systems,0734-2071,1557-7333,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Computing Education,NA,1946-6226,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Database Systems,0362-5915,1557-4644,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Design Automation of Electronic Systems,1084-4309,1557-7309,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Economics and Computation,2167-8375,2167-8383,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Graphics,0730-0301,1557-7368,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Information Systems,1046-8188,1558-2868,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Internet Technology,1533-5399,1557-6051,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Knowledge Discovery in Data,1556-4681,1556-472X,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Management Information Systems,2158-656X,2158-6578,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Mathematical Software,0098-3500,1557-7295,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,2376-3647,2024-10-03,NA,acm2023lyrasis
"ACM Transactions on Multimedia Computing, Communications and Applications",1551-6857,1551-6865,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Parallel Computing,2329-4949,2329-4957,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Programming Languages & Systems,0164-0925,1558-4593,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Quantum Computing,2643-6809,2643-6817,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Sensor Networks,1550-4859,1550-4867,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Software Engineering and Methodology,1049-331X,1557-7392,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Spatial Algorithms and Systems,2374-0353,2374-0361,2024-10-03,NA,acm2023lyrasis
ACM Transactions on Storage,1553-3077,1553-3093,2024-10-03,NA,acm2023lyrasis
ACM Transactions on the Web,1559-1131,1559-114X,2024-10-03,NA,acm2023lyrasis
Communications of the ACM,0001-0782,1557-7317,2024-10-03,NA,acm2023lyrasis
Digital Government: Research and Practice,2691-199X,2639-0175,2024-10-03,NA,acm2023lyrasis
Digital Threats: Research and Practice,2692-1626,2576-5337,2024-10-03,NA,acm2023lyrasis
Distributed Ledger Technologies: Research and Practice,NA,2769-6480,2024-10-03,NA,acm2023lyrasis
eLearn Magazine,NA,1535-394X,2024-10-03,NA,acm2023lyrasis
EngageCSEdu,NA,NA,2024-10-03,NA,acm2023lyrasis
Formal Aspects of Computing,0934-5043,1433-299X,2024-10-03,NA,acm2023lyrasis
Games: Research and Practice,NA,2832-5516,2024-10-03,NA,acm2023lyrasis
interactions,NA,1558-3449,2024-10-03,NA,acm2023lyrasis
Journal of Experimental Algorithmics,NA,1084-6654,2024-10-03,NA,acm2023lyrasis
